id,name,province,level,type,category,tags
S0547,北京航空航天大学,广东,本科,公办,理工,985
S0548,北京航空航天大学,江苏,本科,公办,理工,985
S0549,北京航空航天大学,河北,本科,公办,理工,985
S0550,北京航空航天大学,河南,本科,公办,理工,985
S0551,北京航空航天大学,浙江,本科,公办,理工,985
S0552,北京航空航天大学,湖北,本科,公办,理工,985
S0553,北京航空航天大学,湖南,本科,公办,理工,985
S0554,北京航空航天大学,陕西,本科,公办,理工,985
S0555,北京航空航天大学（杭州国际校园）,浙江,本科,,,
S0556,北京警察学院,北京,本科,,,
S0557,北京语言大学,北京,本科,,,
S0558,北京语言大学,浙江,本科,,,
S0559,北京邮电大学,北京,本科,,,
S0560,北京邮电大学,浙江,本科,,,
S0561,北京邮电大学世纪学院,北京,本科,,,
S0562,北京邮电大学世纪学院,浙江,本科,,,
S0563,北京金融科技学院,北京,本科,,,
S0564,北京金融科技学院,浙江,本科,,,
S0565,北华大学,北京,本科,,,
S0566,北华大学,浙江,本科,,,
S0567,北华航天工业学院,北京,本科,,,
S0568,北华航天工业学院,浙江,本科,,,
S0569,北师香港浸会大学,北京,本科,,,
S0570,北师香港浸会大学,浙江,本科,,,
S0571,北方工业大学,北京,本科,,,
S0572,北方工业大学,浙江,本科,,,
S0573,北方民族大学,北京,本科,,,
S0574,北方民族大学,浙江,本科,,,
S0575,北海艺术设计学院,北京,本科,,,
S0576,北海艺术设计学院,浙江,本科,,,
S0577,北部湾大学,浙江,本科,,,
S0578,华东交通大学,北京,本科,,,
S0579,华东交通大学,浙江,本科,,,
S0580,华东师范大学,北京,本科,公办,师范,985
S0581,华东师范大学,四川,本科,公办,师范,985
S0582,华东师范大学,山东,本科,公办,师范,985
S0583,华东师范大学,广东,本科,公办,师范,985
S0584,华东师范大学,江苏,本科,公办,师范,985
S0585,华东师范大学,河北,本科,公办,师范,985
S0586,华东师范大学,河南,本科,公办,师范,985
S0587,华东师范大学,浙江,本科,公办,师范,985
S0588,华东师范大学,湖北,本科,公办,师范,985
S0589,华东师范大学,湖南,本科,公办,师范,985
S0590,华东师范大学,陕西,本科,公办,师范,985
S0591,华东政法大学,北京,本科,,,
S0592,华东政法大学,浙江,本科,,,
S0593,华东理工大学,北京,本科,,,
S0594,华东理工大学,浙江,本科,,,
S0595,华中农业大学,北京,本科,,,
S0596,华中农业大学,浙江,本科,,,
S0597,华中师范大学,北京,本科,公办,师范,211
S0598,华中师范大学,四川,本科,公办,师范,211
S0599,华中师范大学,山东,本科,公办,师范,211
